Sample;Site;Visit;Traffic;Roadverge;Verge.width;Date;Time;Temp;Weather;Wind_speed;Wind_direction;Side.road;Species;Caste;Behaviour;N;E;
75;Björklinge;1;247;SP;2,88;2020-05-08;13:30;14;Cloudy;4(12);SV;S;B. terrestris;queen;nesting;6653831;638757;
76;Björklinge;1;247;SP;2,88;2020-05-08;13:30;14;Cloudy;4(12);SV;S;B. terrestris;queen;nesting;6653666;639052;
77;Björklinge;1;247;SP;2,88;2020-05-08;13:30;14;Cloudy;4(12);SV;S;B. terrestris;queen;foraging;6653652;639077;
78;Björklinge;1;247;SP;2,88;2020-05-08;13:30;14;Cloudy;4(12);SV;S;B. terrestris;queen;nesting;6653652;639077;
79;Björklinge;1;247;SP;2,88;2020-05-08;13:30;14;Cloudy;4(12);SV;S;B. terrestris;queen;nesting;6653619;639137;
80;Björklinge;1;247;SP;2,88;2020-05-08;13:30;14;Cloudy;4(12);SV;S;B. terrestris;queen;dead;6653570;639203;
81;Rovsättra;1;267;SR;4,32;2020-05-09;11:10;13;Sunny;2(7);N;E;B. pascuorum;queen;foraging;6683962;674287;
82;Rovsättra;1;267;SR;4,32;2020-05-09;11:10;13;Sunny;2(7);N;E;B. pascuorum;queen;foraging;6684688;673911;
83;Rovsättra;1;267;SR;4,32;2020-05-09;11:10;13;Sunny;2(7);N;W;B. terrestris;queen;foraging;6684705;673875;
84;Rovsättra;1;267;SR;4,32;2020-05-09;11:10;13;Sunny;2(7);N;W;B. soroeensis;queen;foraging;6684705;673875;
85;Rovsättra;1;267;SR;4,32;2020-05-09;11:10;13;Sunny;2(7);N;W;B. lapidarius;queen;foraging;6684705;673875;
86;Rovsättra;1;267;SR;4,32;2020-05-09;11:10;13;Sunny;2(7);N;W;unknown;queen;foraging;6684691;673895;
87;Rovsättra;1;267;SR;4,32;2020-05-09;11:10;13;Sunny;2(7);N;W;B. lapidarius;queen;foraging;6684691;673895;
88;Rovsättra;1;267;SR;4,32;2020-05-09;11:10;13;Sunny;2(7);N;W;B. lucorum coll.;queen;foraging;6684680;673926;
89;Rovsättra;1;267;SR;4,32;2020-05-09;11:10;13;Sunny;2(7);N;W;B. pascuorum;queen;foraging;6684678;673957;
90;Rovsättra;1;267;SR;4,32;2020-05-09;11:10;13;Sunny;2(7);N;W;B. cryptarum;queen;foraging;6684637;674019;
91;Rovsättra;1;267;SR;4,32;2020-05-09;11:10;13;Sunny;2(7);N;W;B. sylvestris;queen;foraging;6684637;674019;
92;Tierp;1;125;SR;3,1;2020-05-09;14:00;14;Sunny;1(6);SV;N;B. pascuorum;queen;foraging;6689374;642584;
93;Tierp;1;125;SR;3,1;2020-05-09;14:00;14;Sunny;1(6);SV;N;B. soroeensis;queen;foraging;6689398;642538;
94;Tierp;1;125;SR;3,1;2020-05-09;14:00;14;Sunny;1(6);SV;N;B. lapidarius;queen;foraging;6689426;642425;
95;Tierp;1;125;SR;3,1;2020-05-09;14:00;14;Sunny;1(6);SV;N;B. lapidarius;queen;foraging;6689426;642425;
96;Tierp;1;125;SR;3,1;2020-05-09;14:00;14;Sunny;1(6);SV;N;B. cryptarum;queen;foraging;6689431;642377;
97;Tierp;1;125;SR;3,1;2020-05-09;14:00;14;Sunny;1(6);SV;S;B. terrestris;queen;nesting;6689363;641867;
98;Tierp;1;125;SR;3,1;2020-05-09;14:00;14;Sunny;1(6);SV;S;B. pascuorum;queen;foraging;6689427;642482;
99;Skogs-Tibble;1;158;SP;3,98;2020-05-09;16:10;17;Cloudy;3(8);S;N;B. lucorum coll.;queen;dead;6635300;629542;
100;Skogs-Tibble;1;158;SP;3,98;2020-05-09;16:10;17;Cloudy;3(8);S;N;unknown;queen;passing;;;
101;Skogs-Tibble;1;158;SP;3,98;2020-05-09;16:10;17;Cloudy;3(8);S;N;B. lucorum;queen;nesting;6635310;629347;
102;Skogs-Tibble;1;158;SP;3,98;2020-05-09;16:10;17;Cloudy;3(8);S;N;B. terrestris;queen;nesting;6635370;629167;
103;Skogs-Tibble;1;158;SP;3,98;2020-05-09;16:10;17;Cloudy;3(8);S;N;B. ruderarius;queen;dead;6635430;629071;
104;Skogs-Tibble;1;158;SP;3,98;2020-05-09;16:10;17;Cloudy;3(8);S;S;B. terrestris;queen;nesting;6635207;629708;
105;Upplands-Väsby;1;6168;SP;4,76;2020-05-15;10:30;12;Sunny;3(8);SV;E;B. lucorum coll.;queen;dead;6598636;661373;
106;Upplands-Väsby;1;6168;SP;4,76;2020-05-15;10:30;12;Sunny;3(8);SV;E;B. pascuorum;queen;dead;6599080;661450;
107;Häggeby;1;3312;SR;4,665;2020-05-15;12:15;13;Cloudy;6;SV;E;B. terrestris?;queen;dead;6616083;641625;
108;Häggeby;1;3312;SR;4,665;2020-05-15;12:15;13;Cloudy;6;SV;E;B. terrestris;queen;dead;6613309;641841;
109;Häggeby;1;3312;SR;4,665;2020-05-15;12:15;13;Cloudy;6;SV;E;B. terrestris?;queen;dead;6613329;641851;
110;Häggeby;1;3312;SR;4,665;2020-05-15;12:15;13;Cloudy;6;SV;E;unknown;queen;nesting;6613480;641971;
111;Häggeby;1;3312;SR;4,665;2020-05-15;12:15;13;Cloudy;6;SV;W;B. terrestris;queen;nesting;6613393;641867;
112;Häggeby;1;3312;SR;4,665;2020-05-15;12:15;13;Cloudy;6;SV;W;B. lucorum coll.;queen;dead;6613332;641841;
113;Häggeby;1;3312;SR;4,665;2020-05-15;12:15;13;Cloudy;6;SV;W;B. lapidarius;queen;dead;6613172;641740;
114;Skutskär;1;930;SR;4,31;2020-05-18;10:01;11;Sunny;1(6);NV;E;unknown;queen;nesting;6719275;633610;
115;Skutskär;1;930;SR;4,31;2020-05-18;10:01;11;Sunny;1(6);NV;W;B. lucorum coll.;queen;foraging;6719785;633435;
116;Östhammar;1;1662;SP;3,55;2020-05-18;12:20;11;Cloudy;2(7);V;W;B. pascuorum;queen;dead;6680515;686301;
117;Östhammar;1;1662;SP;3,55;2020-05-18;12:20;11;Cloudy;2(7);V;W;B. sylvestris;queen;foraging;6680351;686325;
118;Östhammar;1;1662;SP;3,55;2020-05-18;12:20;11;Cloudy;2(7);V;W;unknown;queen;nesting;6680351;686325;
119;Östhammar;1;1662;SP;3,55;2020-05-18;12:20;11;Cloudy;2(7);V;W;B. lucorum coll.;queen;nesting;6680168;686341;
120;Östhammar;1;1662;SP;3,55;2020-05-19;10:30;11;Sunny;3(8);N;E;B. lucorum coll.;queen;foraging;6679784;686512;
121;Östhammar;1;1662;SP;3,55;2020-05-19;10:30;11;Sunny;3(8);N;E;B. lucorum coll.;queen;foraging;6679784;686512;
122;Östhammar;1;1662;SP;3,55;2020-05-19;10:30;11;Sunny;3(8);N;E;unknown;queen;dead;6679969;686394;
123;Hargshamn;1;1726;SR;4,17;2020-05-19;11:50;12;Cloudy;3(7);N;W;B. bohemicus;queen;foraging;6670473;691549;
124;Hargshamn;1;1726;SR;4,17;2020-05-19;11:50;12;Cloudy;3(7);N;E;B. pratorum;queen;foraging;6669991;692064;
125;Hargshamn;1;1726;SR;4,17;2020-05-19;11:50;12;Cloudy;3(7);N;E;B. sylvestris;queen;foraging;6670066;691977;
126;Hargshamn;1;1726;SR;4,17;2020-05-19;11:50;12;Cloudy;3(7);N;E;B. pascuorum;queen;foraging;6670066;691977;
127;Hargshamn;1;1726;SR;4,17;2020-05-19;11:50;12;Cloudy;3(7);N;E;B. pratorum;queen;dead;6670438;691624;
128;Hargshamn;1;1726;SR;4,17;2020-05-19;11:50;12;Cloudy;3(7);N;E;unknown;queen;nesting;6670510;691519;
129;Knutby;1;373;SR;4,5;2020-05-15;15:35;13;Overcast;4(10);SV;W;unknown;queen;dead;6648920;683342;
130;Knutby;1;373;SR;4,5;2020-05-15;15:35;13;Overcast;4(10);SV;E;B. terrestris;queen;nesting;6648540;683301;
131;Knutby;1;373;SR;4,5;2020-05-15;15:35;13;Overcast;4(10);SV;W;B. terrestris;queen;nesting;6648783;683302;
132;Knutby;1;373;SR;4,5;2020-05-15;15:35;13;Overcast;4(10);SV;W;B. pascuorum;queen;foraging;6648996;683377;
133;Knutby;1;373;SR;4,5;2020-05-15;15:35;13;Overcast;4(10);SV;W;B. terrestris;queen;foraging;6649192;683451;
134;Strängnäs;2;372;SP;4,43;2020-05-20;10:15;12;Sunny;3(8);N;E;unknown;queen;dead;6583968;609236;
135;Strängnäs;2;372;SP;4,43;2020-05-20;10:15;12;Sunny;3(8);N;E;unknown;queen;dead;6584208;609167;
136;Strängnäs;2;372;SP;4,43;2020-05-20;10:15;12;Sunny;3(8);N;W;B. terrestris;queen;nesting;6584266;609151;
137;Strängnäs;2;372;SP;4,43;2020-05-20;10:15;12;Sunny;3(8);N;W;B. bohemicus;queen;nesting;6584266;609151;
138;Strängnäs;2;372;SP;4,43;2020-05-20;10:15;12;Sunny;3(8);N;W;B. terrestris;queen;nesting;6584266;609151;
139;Strängnäs;2;372;SP;4,43;2020-05-20;10:15;12;Sunny;3(8);N;W;B. terrestris;queen;nesting;6584194;609166;
140;Tosterön;2;5764;SP;4,07;2020-05-20;12:10;13;Cloudy;3(9);N;W;unknown;queen;dead;6589392;614924;
141;Tosterön;2;5764;SP;4,07;2020-05-20;12:10;13;Cloudy;3(9);N;E;B. lucorum coll.;queen;dead;6589144;614929;
142;Tosterön;2;5764;SP;4,07;2020-05-20;12:10;13;Cloudy;3(9);N;E;B. pascuorum;queen;dead;6589156;614942;
143;Tosterön;2;5764;SP;4,07;2020-05-20;12:10;13;Cloudy;3(9);N;E;B. pascuorum;queen;dead;6589478;614927;
144;Tosterön;2;5764;SP;4,07;2020-05-20;12:10;13;Cloudy;3(9);N;E;B. terrestris;queen;dead;6589478;614927;
145;Tosterön;2;5764;SP;4,07;2020-05-20;12:10;13;Cloudy;3(9);N;E;B. ruderarius;queen;foraging;6589721;614863;
146;Tosterön;2;5764;SP;4,07;2020-05-20;12:10;13;Cloudy;3(9);N;E;B. pascuorum;queen;dead;6589741;614856;
147;Tosterön;2;5764;SP;4,07;2020-05-20;12:10;13;Cloudy;3(9);N;E;B. ruderarius;queen;dead;6589812;614835;
148;Tosterön;2;5764;SP;4,07;2020-05-20;12:10;13;Cloudy;3(9);N;E;B. sylvarum;queen;dead;6589838;614825;
149;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;E;B. terrestris;queen;dead;6595190;614420;
150;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;E;B. terrestris;queen;dead;6595206;614427;
151;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;E;B. lucorum coll.;queen;dead;6595225;614434;
152;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;E;B. terrestris;queen;dead;6595282;614455;
153;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;E;B. subterraneus;queen;dead;6595282;614455;
154;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;E;B. terrestris;queen;dead;6595339;614461;
155;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;E;B. terrestris;queen;nesting;6595536;614431;
156;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;E;unknown;queen;dead;6595536;614431;
157;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;W;B. lucorum coll.;queen;dead;6595635;614358;
158;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;W;unknown;queen;dead;6595194;614408;
159;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;W;B. lucorum coll.;queen;dead;6595149;614382;
160;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;W;B. ruderarius;queen;foraging;6595029;614327;
161;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;W;unknown;queen;dead;6595028;614326;
162;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;E;B. pratorum;queen;dead;6594914;614286;
163;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;E;B. lapidarius;queen;dead;6594920;614288;
164;Aspön;2;5675;SR;5,38;2020-05-20;14:10;14;Cloudy;1(5);N;E;B. terrestris;queen;dead;6595079;614366;
165;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;E;B. terrestris;queen;dead;6609733;619233;
166;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;E;B. pascuorum;queen;dead;6609741;619231;
167;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;E;B. lucorum coll.;queen;dead;6609753;619223;
168;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;E;B. lucorum coll.;queen;dead;6609782;619210;
169;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;E;B. lapidarius;queen;dead;6609822;619186;
170;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;E;B. terrestris;queen;dead;6609891;619134;
171;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;E;B. lucorum coll.;queen;dead;6610020;619048;
172;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;E;B. terrestris;queen;nesting;6610107;619014;
173;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;E;B. terrestris;queen;dead;6610191;618978;
174;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;E;B. lucorum coll.;queen;dead;6610194;618977;
175;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;E;unknown;queen;dead;6610301;618934;
176;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;W;B. lucorum coll.;queen;dead;6610330;618910;
177;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;W;unknown;queen;dead;6610330;618910;
178;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;W;B. norvegicus;queen;dead;6610318;618917;
179;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;W;B. lapidarius;queen;dead;6610224;618959;
180;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;W;B. terrestris;queen;dead;6610188;618971;
181;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;W;B. terrestris;queen;dead;6610188;618971;
182;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;W;B. lapidarius;queen;nesting;6610150;618988;
183;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;W;B. lucorum coll.;queen;dead;6610143;618991;
184;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;W;B. terrestris;queen;dead;6610143;618991;
185;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;W;B. lucorum coll.;queen;dead;6609996;619050;
186;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;W;B. terrestris;queen;dead;6609874;619137;
187;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;W;B. lucorum coll.;queen;dead;6609786;619197;
188;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;W;B. ruderarius;queen;dead;6609634;619244;
189;Enköping;2;841;SP;4,29;2020-05-20;16:15;15;Cloudy;2(5);NO;W;B. lucorum;queen;dead;6609586;618256;
190;Björklinge;2;247;SP;2,88;2020-05-22;10:00;15;Sunny;3(8);SO;N;B. sylvarum;worker;dead;6653514;639362;
191;Björklinge;2;247;SP;2,88;2020-05-22;10:00;15;Sunny;3(8);SO;N;B. ruderarius;queen;nesting;6653518;639352;
192;Björklinge;2;247;SP;2,88;2020-05-22;10:00;15;Sunny;3(8);SO;N;unknown;queen;nesting;6653560;639252;
193;Björklinge;2;247;SP;2,88;2020-05-22;10:00;15;Sunny;3(8);SO;N;B. sylvarum;queen;nesting;6653569;639233;
194;Björklinge;2;247;SP;2,88;2020-05-22;10:00;15;Sunny;3(8);SO;N;B. terrestris;queen;nesting;6653825;638792;
195;Björklinge;2;247;SP;2,88;2020-05-22;10:00;15;Sunny;3(8);SO;N;B. bohemicus;queen;nesting;6653850;638662;
196;Björklinge;2;247;SP;2,88;2020-05-22;10:00;15;Sunny;3(8);SO;S;B. terrestris;queen;nesting;6653835;638738;
197;Björklinge;2;247;SP;2,88;2020-05-22;10:00;15;Sunny;3(8);SO;S;B. terrestris;queen;nesting;6653820;638784;
198;Björklinge;2;247;SP;2,88;2020-05-22;10:00;15;Sunny;3(8);SO;S;B. lapidarius;queen;nesting;6653804;638815;
199;Björklinge;2;247;SP;2,88;2020-05-22;10:00;15;Sunny;3(8);SO;S;unknown;queen;foraging;6653681;639026;
200;Björklinge;2;247;SP;2,88;2020-05-22;10:00;15;Sunny;3(8);SO;S;B. hortorum;queen;nesting;6653679;639032;
201;Björklinge;2;247;SP;2,88;2020-05-22;10:00;15;Sunny;3(8);SO;S;B. lapidarius;queen;foraging;6653575;639203;
202;Björklinge;2;247;SP;2,88;2020-05-22;10:00;15;Sunny;3(8);SO;S;unknown;queen;nesting;6653505;639366;
